sr_no,procedure,category,min_price,avg_price,max_price
1,Consultation OPD,procedure,350.0,350.0,350.0
2,Consultation- for Inpatients,procedure,350.0,350.0,350.0
3,Dressings of wounds,procedure,255.0,300.0,300.0
4,Suturing of wounds with local anesthesia,procedure,97.0,112.0,112.0
5,Aspiration Plural Effusion - Diagnostic,procedure,595.0,700.0,700.0
6,Aspiration Plural Effusion - Therapeutic,procedure,595.0,700.0,700.0
7,"Abdominal / Peritoneal Aspiration - Diagnostic / Ascitic tapping /
paracentesis - Diagnostic",procedure,595.0,700.0,700.0
8,"Abdominal / Peritoneal Aspiration - Therapeutic/ Ascitic tapping /
paracentesis- Therapeutic",procedure,640.0,750.0,750.0
9,Pericardial Aspiration,procedure,380.0,437.0,437.0
10,Joints Aspiration,procedure,317.0,365.0,365.0
11,Biopsy Skin,procedure,230.0,265.0,265.0
12,Removal of Stitches /Sutures (7- 12 sutures),procedure,170.0,200.0,200.0
13,Venesection,procedure,595.0,700.0,700.0
14,Phimosis correction / Paraphimosis reduction / Circumcision Under LA,procedure,5100.0,6000.0,6000.0
15,Sternal puncture,procedure,173.0,199.0,199.0
16,Injection /Sclerotherapy / Banding of Haemorrhoids,procedure,595.0,700.0,700.0
17,Injection for Varicose Veins,procedure,595.0,700.0,700.0
18,Urinary bladder Catheterisation,procedure,595.0,700.0,700.0
19,Dilatation of Urethral stricture,procedure,1955.0,2300.0,2300.0
20,Incision & Drainage under local Anaesthesia (Large),procedure,1955.0,2300.0,2300.0
21,Intercostal Drainage,procedure,125.0,144.0,144.0
22,Peritoneal Dialysis,procedure,1466.0,1686.0,1686.0
23,Excision of Moles,ent,345.0,397.0,397.0
24,Excision of Warts,ent,280.0,322.0,322.0
25,Excision of Molluscum contagiosum,ent,130.0,150.0,150.0
26,Excision of Veneral Warts,ent,160.0,184.0,184.0
27,Excision of Corns,ent,140.0,161.0,161.0
28,I/D Injection Keloid,ent,97.0,112.0,112.0
29,Chemical Cautery (s),ent,110.0,127.0,127.0
30,Subconjunctival/subtenon’s injections in one eyes,ent,69.0,79.0,79.0
31,Subconjunctival/subtenon’s injections in both eyes,ent,138.0,158.0,158.0
32,Pterygium Surgery,ent,5500.0,6325.0,6325.0
33,Conjunctival Peritomy,ent,58.0,67.0,67.0
34,Conjunctival wound repair or exploration following blunt trauma,ent,3300.0,3795.0,3795.0
35,Removal of corneal foreign body,ent,105.0,120.0,120.0
36,Cauterization of ulcer/subconjunctival injection in one eye,ent,69.0,79.0,79.0
37,Cauterization of ulcer/subconjunctival injection in both eyes,ent,138.0,159.0,159.0
38,Corneal grafting—Penetrating keratoplasty,ent,5750.0,6613.0,6613.0
39,Corneal grafting—Lamellar keratoplasty,ent,4500.0,5175.0,5175.0
40,Cyanoacrylate /fibrin glue application for corneal perforation,ent,690.0,794.0,794.0
41,Bandage contact lenses for corneal perforation,ent,460.0,529.0,529.0
42,Scleral grafting or conjunctival flap for corneal perforation,ent,2300.0,2645.0,2645.0
43,Keratoconus correction with therapeutic contact lenses,ent,1080.0,1242.0,1242.0
44,UV radiation for cross-linking for keratoconus,ent,1800.0,2070.0,2070.0
45,EDTA for band shaped keratopathy,ent,780.0,893.0,893.0
46,Arcuate keratotomy for astigmatism,ent,2520.0,2898.0,2898.0
47,Re-suturing (Primary suturing) of corneal wound,ent,1150.0,1323.0,1323.0
48,Penetrating keratoplasty ---- with glaucoma surgery,ent,12144.0,13966.0,13966.0
49,Penetrating keratoplasty --- with vitrectomy,ent,10930.0,12569.0,12569.0
50,Penetrating keratoplasty ---- with IOL implantation,ent,12290.0,14133.0,14133.0
51,DALK- Deep anterior lamellar keratoplasty,ent,15525.0,17854.0,17854.0
52,Keratoprosthesis stage I and II,ent,10350.0,11903.0,11903.0
53,DSAEK- Descemet’s stripping automated endothelial keratoplasty,ent,16675.0,19176.0,19176.0
54,ALTK- Automated lamellar therapeutic keratoplasty,ent,14850.0,17078.0,17078.0
55,Probing and Syringing of lacrimal sac- in one eye,ent,69.0,79.0,79.0
56,Probing and Syringing of lacrimal sac- in both eye,ent,138.0,159.0,159.0
57,Dacryocystorhinostomy—Plain,ent,2588.0,2976.0,2976.0
58,"Dacryocystorhinostomy—Plain with intubation and/or with
lacrimal implants",ent,8775.0,10092.0,10092.0
59,Dacryocystorhinostomy—conjunctival with implant,ent,8280.0,9532.0,9532.0
60,Caliculoplasty,ent,2070.0,2381.0,2381.0
61,Dacryocystectomy,ent,1725.0,1984.0,1984.0
62,Punctal plugs for dry eyes,ent,117.0,135.0,135.0
63,Refraction,ent,40.0,46.0,46.0
64,Indirect Ophthalmoscopy,ent,67.0,77.0,77.0
65,Orthoptic check-up- with synoptophore,ent,44.0,51.0,51.0
66,Lees’ charting or Hess’ charting,ent,100.0,115.0,115.0
67,Orthoptic exercises,ent,50.0,58.0,58.0
68,Pleoptic exercises,ent,50.0,58.0,58.0
69,Perimetry/field test—Goldman,ent,144.0,166.0,166.0
70,Perimetry/field test— automated,ent,144.0,166.0,166.0
71,Fluorescein angiography for fundus or iris,ent,828.0,952.0,952.0
72,Ultrasound A- Scan,ent,777.0,893.0,893.0
73,Ultrasound B- Scan,ent,230.0,265.0,265.0
74,Fundus Photo Test,ent,180.0,207.0,207.0
75,Indocyanin green angiography,ent,828.0,952.0,952.0
76,Corneal endothelial cell count with specular microscopy,ent,230.0,265.0,265.0
77,Corneal topography,ent,298.0,343.0,343.0
78,Corneal pachymetry,ent,230.0,265.0,265.0
79,Auto-refraction,ent,35.0,40.0,40.0
80,Macular function tests,ent,44.0,51.0,51.0
81,Potential acuity metry,ent,90.0,104.0,104.0
82,Laser interferometry,ent,173.0,199.0,199.0
83,OCT-Optical coherence tomography,ent,1913.0,2250.0,2250.0
84,HRT- Heidelberg’s retinal tomogram,ent,150.0,173.0,173.0
85,GDX--- Nerve fibre layer analyzer,ent,88.0,101.0,101.0
86,UBM- Ultrasound bio microscopy,ent,135.0,156.0,156.0
87,Non Contact tonometry,ent,50.0,58.0,58.0
88,IOP measurement with schiotz,ent,30.0,35.0,35.0
89,IOP measurement with applation tonometry,ent,50.0,58.0,58.0
90,Three mirror examination for reti,ent,58.0,67.0,67.0
91,90 D lens examination,ent,50.0,58.0,58.0
92,Gonioscopy,ent,58.0,67.0,67.0
93,Chalazion incision and curettage in one eye,ent,400.0,460.0,460.0
94,Chalazion incision and curettage in both eyes,ent,431.0,496.0,496.0
95,Ptosis surgery with fasanella servat procedure,ent,2300.0,2645.0,2645.0
96,Ptosis surgery with LPS resection one lid,ent,5500.0,6325.0,6325.0
97,Ptosis surgery with Sling surgery one lid,ent,6003.0,6904.0,6904.0
98,Ectropion surgery- one lid,ent,1400.0,1610.0,1610.0
99,Ectropion surgery- both lids,ent,2500.0,2875.0,2875.0
100,Epicanthus correction,ent,1550.0,1783.0,1783.0
101,Cantholysis and canthotomy,ent,575.0,662.0,662.0
102,Entropion surgery- one lid,ent,1380.0,1587.0,1587.0
103,Entropion surgery- both lids,ent,2000.0,2300.0,2300.0
104,Tarsorraphy,ent,650.0,748.0,748.0
105,Suturing of lid lacerations,ent,1035.0,1191.0,1191.0
106,Lid retraction repair,ent,1530.0,1760.0,1760.0
107,Concretions removal,ent,115.0,132.0,132.0
108,Bucket handle procedure for lid tumors,ent,345.0,397.0,397.0
109,Cheek rotation flap for lid tumors,ent,6900.0,7935.0,7935.0
110,Orbitotomy,ent,7245.0,8332.0,8332.0
111,Enucleation,ent,3000.0,3450.0,3450.0
112,Enucleation with orbital implants and artificial prosthesis,ent,3000.0,3450.0,3450.0
113,Evisceration,ent,3450.0,3968.0,3968.0
114,Evisceration with orbital implants and artificial prosthesis,ent,5124.0,5892.0,5892.0
115,Telecanthus correction,ent,5175.0,5951.0,5951.0
116,Orbital decompression,ent,5750.0,6613.0,6613.0
117,Exenteration,ent,5750.0,6613.0,6613.0
118,Exenteration with skin grafting,ent,6210.0,7142.0,7142.0
119,Fracture orbital repair,ent,8280.0,9522.0,9522.0
120,Retinal laser procedures,ent,1350.0,1553.0,1553.0
121,Retinal detachment surgery,ent,11500.0,13225.0,13225.0
122,Retinal detachment surgery with scleral buckling,ent,13800.0,15870.0,15870.0
123,Buckle removal,ent,1150.0,1323.0,1323.0
124,Silicone oil removal,ent,2520.0,2898.0,2898.0
125,Anterior retinal cryopexy,ent,1162.0,1336.0,1336.0
126,Squint correction for one eye,ent,4500.0,5175.0,5175.0
127,Squint correction for both eyes,ent,6750.0,7763.0,7763.0
128,Trabeculectomy,ent,6210.0,7142.0,7142.0
129,Trabeculotomy,ent,6210.0,7142.0,7142.0
130,Trabeculectomy with Trabeculotomy,ent,9315.0,10713.0,10713.0
131,Trephition,ent,2070.0,2381.0,2381.0
132,Goniotomy,ent,345.0,397.0,397.0
133,Glaucoma surgery with Glaucoma valves (valve cost extra),ent,6210.0,7142.0,7142.0
134,Cyclocryotherapy,ent,1150.0,1323.0,1323.0
135,YAG laser iridotomy,ent,1350.0,1553.0,1553.0
136,YAG laser capsulotomy,ent,984.0,1131.0,1131.0
137,ALT-Argon laser trabeculoplasty,ent,1495.0,1719.0,1719.0
138,PDT-Photodymic therapy,ent,3105.0,3572.0,3572.0
139,TTT- Transpupillary thermal therapy,ent,3000.0,3450.0,3450.0
140,PTK- Phototherapeutic keratectomy,ent,7500.0,8625.0,8625.0
141,Argon/diode laser for retinal detatchment,ent,1150.0,1323.0,1323.0
142,Intralase application for keratoconus,ent,5750.0,6613.0,6613.0
143,EOG- electro-oculogram,ent,810.0,932.0,932.0
144,ERG- Electro-retinogram,ent,715.0,822.0,822.0
145,VEP- visually evoked potential,ent,720.0,828.0,828.0
146,Vitrectomy- pars plana,ent,10350.0,11903.0,11903.0
147,Intravitreal injections- of antibiotics,ent,1150.0,1323.0,1323.0
148,Intravitreal injections- of lucentis excluding cost of drug,ent,3000.0,3450.0,3450.0
149,X- Ray orbit,ent,115.0,132.0,132.0
150,CT-orbit and brain,ent,1600.0,1840.0,1840.0
151,MRI- Orbit and brain,ent,3105.0,3571.0,3571.0
152,Dacryocystography,ent,340.0,391.0,391.0
153,Orbital angio-graphical studies,ent,1500.0,1725.0,1725.0
154,ECCE with IOL,ent,3105.0,3571.0,3571.0
155,SICS with IOL,ent,4500.0,5175.0,5175.0
156,Phaco with foldable IOL (silicone and acrylic)/PMMA IOL,ent,9703.0,11158.0,11158.0
157,Pars plana lensectomy with/without IOL,ent,9315.0,10713.0,10713.0
158,"Secondary IOL implantation- AC IOL PC IOL or scleral
fixated IOL",ent,6900.0,7935.0,7935.0
159,"Cataract extraction with IOL with capsular tension rings
(Cionni’s ring)",ent,13500.0,15525.0,15525.0
